,Target arm,Target arm value,Action 1,Outcome 1,Test_in,Reward,Predicted_out,Test_out,Exploration rate
0,1,9.067960765632003,1,9.067960765632003,2.2911694941411187,0.0,0.0,20.77623508028459,1.0
1,1,9.80446169305331,0,9.597324616660769,0.085795476118663,4.790058866048497e-13,0.5243819952011108,0.8411784590427016,0.99988
2,1,9.000263209054811,1,9.000263209054811,5.418093407993339,0.0,1.5037140846252441,48.76426676318485,0.99976
3,1,9.017008005297502,1,9.017008005297502,8.332325290584526,0.0,2.4644346237182617,75.1326438479435,0.99964
4,1,8.85125231028664,1,8.85125231028664,1.6436638410457693,0.0,1.7689048051834106,14.548483370390977,0.99952
5,1,1.257016023937999,0,3.174080632816638,0.45460155732939267,0.0,2.115360736846924,0.5714414420702155,0.9994
6,1,7.02791483886383,0,6.220606248766466,1.9421129457171338,0.0,2.8056371212005615,13.649004389954989,0.99928
7,1,3.144153882061941,1,3.144153882061941,4.800311218617756,0.0,3.5648458003997803,15.092917153122503,0.9991599999999999
8,1,5.4641151797665355,0,9.058984112479887,4.430555054072993,0.0,3.8061070442199707,24.209063125751587,0.9990399999999999
9,1,8.33090829914177,1,8.33090829914177,0.8163220951536454,1.1263480960312994e-22,3.382110834121704,6.8007045172883025,0.9989199999999999
10,1,9.807952691584932,1,9.807952691584932,2.43076543826354,0.0,4.169891834259033,23.840832422828516,0.9987999999999999
11,1,9.987678939397671,1,9.987678939397671,6.125026354152837,0.0,4.548105716705322,61.174796720627995,0.9986799999999999
12,1,7.317288069251735,0,8.326216907873418,6.9950819683801315,0.0,4.8314971923828125,51.185029830665876,0.9985599999999999
13,1,2.981249242291798,1,2.981249242291798,2.7527928757502806,3.7039566292557113e-13,5.102033615112305,8.206761675016784,0.9984399999999999
14,1,8.32522100409549,1,8.32522100409549,6.5685104990432865,0.0,5.428687572479248,54.68430157225691,0.9983199999999999
15,1,7.4806322272922205,0,7.0032980782869,5.12000387835735,0.0,5.7436723709106445,38.30086601630115,0.9981999999999999
16,1,6.782867701548438,0,4.161607523809906,7.1438501496365125,0.0,6.06984806060791,48.45579044467148,0.9980799999999999
17,1,5.6682328398824735,0,0.4924066405630334,5.504119856346039,0.0,6.271249771118164,31.19863292438982,0.9979599999999998
18,1,4.22467847046345,0,8.819613256075137,5.613220442141697,4.203895392974451e-45,6.7525634765625,23.714051551881354,0.9978399999999998
19,1,6.103389332414597,1,6.103389332414597,0.2913041404660144,0.0,6.930669784545898,1.7779425834084757,0.9977199999999998
20,1,6.573883581038417,0,2.3556952911727236,7.775302574163442,0.0,7.379709243774414,51.11393392989879,0.9975999999999998
21,1,9.296487689859994,1,9.296487689859994,3.8570677147099675,0.0,7.699153423309326,35.85718252875763,0.9974799999999998
22,1,4.056686816234763,1,4.056686816234763,7.208607068479338,0.0,8.019815444946289,29.243061258116857,0.9973599999999998
23,1,6.222906628184419,1,6.222906628184419,0.6396415011706558,0.0,8.277673721313477,3.9804293372967057,0.9972399999999998
24,1,9.060188763838289,1,9.060188763838289,8.192313782089425,0.0,8.628658294677734,74.22390927832416,0.9971199999999998
25,1,0.9033251082027127,1,0.9033251082027127,1.7549575482612634,0.0,8.762348175048828,1.5852972171742732,0.9969999999999998
26,1,0.06281563707123405,0,2.8994216415575504,8.804369813208945,0.0,9.241154670715332,0.5530520988274619,0.9968799999999998
27,1,2.751551082320792,0,2.3130480712068016,5.973656405881015,2.9567273210687455e-16,9.486817359924316,16.43682074901444,0.9967599999999998
28,1,7.246460307433794,1,7.246460307433794,7.090003054529156,0.0,9.724074363708496,51.37742571422989,0.9966399999999997
29,1,2.9478156045463266,0,0.7230665054682173,1.226985839056155,0.0,9.587075233459473,3.6169280029271014,0.9965199999999997
30,1,3.3782139409595837,0,6.143289152334863,2.3125296135283246,5.842790251620045e-09,10.217448234558105,7.812219779303264,0.9963999999999997
31,1,9.989593905499092,1,9.989593905499092,6.341938550976392,0.0,10.42803955078125,63.35339069788351,0.9962799999999997
32,1,6.092655749275885,0,1.3596103621913225,4.691159697777123,7.876789050599707e-35,10.672256469726562,28.58162110343311,0.9961599999999997
33,1,4.614913110412914,1,4.614913110412914,3.6615201617362194,1.4670802767069446e-11,10.929950714111328,16.897597398437693,0.9960399999999997
34,1,5.792281895958502,1,5.792281895958502,9.071248874017353,0.0,11.168726921081543,52.54323062670466,0.9959199999999997
35,1,7.818978596157059,0,8.257770216924563,4.999530820930019,3.363116314379561e-44,11.43405532836914,39.09122447967935,0.9957999999999997
36,1,6.1977921010846595,0,1.9251274484759517,8.268389290141613,0.0,11.709522247314453,51.245757831132686,0.9956799999999997
37,1,9.316490796714046,1,9.316490796714046,3.7321158254449402,5.912297384066224e-38,12.006851196289062,34.77022274002863,0.9955599999999997
38,1,3.5991236698659,0,7.516878653932997,8.79434759637882,3.5509737425822756e-33,12.305628776550293,31.651944595155296,0.9954399999999997
39,1,9.950028365396703,0,0.05214403056777117,5.757944623945446,0.0,12.57599925994873,57.291712334640636,0.9953199999999996
40,1,7.379922472812588,0,6.370659572451983,9.701054980625493,0.0,12.919010162353516,71.59303366150856,0.9951999999999996
41,1,3.341433445724311,1,3.341433445724311,2.282306865310315,0.0,13.243912696838379,7.626176493154097,0.9950799999999996
42,1,5.403270855545758,1,5.403270855545758,8.718822647609867,9.80908925027372e-45,13.583309173583984,47.1101603065027,0.9949599999999996
43,1,7.582296757003993,0,1.5046457928133006,1.226693309860749,4.232887146153625e-19,13.578986167907715,9.301152705195653,0.9948399999999996
