,M,L,Action,Outcome,Reward,Predicted T,Empirical T,q0,q1,Exploration rate
2284,0.4874679873596023,0.8786282808364995,1,0.8786282808364995,0.8223934173583984,1.8225233554840088,1.8813492279034356,137.9837188720703,350.0015869140625,0.7030800000000834
2285,0.34446889429496313,0.40258151044247925,0,0.34446889429496313,0.0029392598662525415,1.4909039735794067,1.2734847334101385,137.98666381835938,350.0015869140625,0.7029500000000835
2286,0.8729640062611441,0.7360057972383459,1,0.7360057972383459,0.9816651344299316,1.7384610176086426,1.7218981049815711,137.98666381835938,350.9832458496094,0.7028200000000835
2287,0.7764103788821671,0.9073188879811762,1,0.9073188879811762,0.747593104839325,1.8389067649841309,1.9118191454481912,137.98666381835938,351.7308349609375,0.7026900000000835
2288,0.15793208373627596,0.6982263864527092,0,0.15793208373627596,1.498336246186227e-07,1.2070237398147583,1.6771231705695855,137.98666381835938,351.7308349609375,0.7025600000000836
2289,0.14138296501661873,0.1593653801020135,1,0.1593653801020135,3.114487565058686e-26,1.2354354858398438,0.8012422133305898,137.98666381835938,351.7308349609375,0.7024300000000836
2290,0.3338216484405103,0.3631374311415402,0,0.3338216484405103,2.596303056634497e-05,1.4873945713043213,1.209490158837359,137.9866943359375,351.7308349609375,0.7023000000000836
2291,0.24454699569613575,0.9852572188244775,1,0.9852572188244775,0.6487797498703003,1.8995780944824219,1.9922399436584473,137.9866943359375,352.3796081542969,0.7021700000000837
2292,0.44741903186117127,0.5942613969947714,1,0.5942613969947714,0.3713128864765167,1.656129002571106,1.5472325391732071,137.9866943359375,352.75091552734375,0.7020400000000837
2293,0.20112441578643858,0.7728019249850862,0,0.20112441578643858,2.3368430390746653e-07,1.2768924236297607,1.7644157592330245,137.9866943359375,352.75091552734375,0.7019100000000837
2294,0.8157281034524884,0.614398239485901,1,0.614398239485901,0.4824771583080292,1.6681987047195435,1.5732285234901835,137.9866943359375,353.2333984375,0.7017800000000838
2295,0.8670406977322035,0.540644343200067,1,0.540644343200067,0.11046610027551651,1.6306722164154053,1.4757835399420391,137.9866943359375,353.3438720703125,0.7016500000000838
2296,0.48960414429002364,0.30094327738976634,1,0.30094327738976634,4.46410242105344e-09,1.4424464702606201,1.1010553555203841,137.9866943359375,353.3438720703125,0.7015200000000839
2297,0.279771942257663,0.5454057821219433,0,0.279771942257663,0.5851304531097412,1.4055384397506714,1.4822678856195004,138.5718231201172,353.3438720703125,0.7013900000000839
2298,0.9619604598858055,0.5868383209327838,1,0.5868383209327838,0.45105066895484924,1.634548544883728,1.5375387269064738,138.5718231201172,353.794921875,0.7012600000000839
