,M,L,Action,Outcome,Reward,Predicted T,Real T,q0,q1,Exploration rate
9716,0.9969304971495225,0.8118909057538536,1,0.8118909057538536,0.9714807271957397,1.8302403688430786,1.8084881561322077,276.23187255859375,4580.70703125,-8.999999988983716e-05
9717,0.6720728560993193,0.45763335190703636,1,0.45763335190703636,0.9941903948783875,1.3504397869110107,1.3577682985989885,276.23187255859375,4581.701171875,-8.999999988983716e-05
9718,0.5992282302593734,0.8441561911706769,1,0.8441561911706769,0.9897437691688538,1.8573131561279297,1.8440735364930145,276.23187255859375,4582.69091796875,-8.999999988983716e-05
9719,0.4043211007075468,0.40964952581027914,1,0.40964952581027914,0.9911043047904968,1.2760286331176758,1.2846152068736936,276.23187255859375,4583.68212890625,-8.999999988983716e-05
9720,0.7837614857286949,0.8433018978519277,1,0.8433018978519277,0.9991407990455627,1.846961259841919,1.8431401911629401,276.23187255859375,4584.68115234375,-8.999999988983716e-05
9721,0.2906519901633955,0.1102260184868491,1,0.1102260184868491,0.8008772730827332,0.6441566944122314,0.6663599557916104,276.23187255859375,4585.48193359375,-8.999999988983716e-05
9722,0.5626475853028641,0.9795247985425705,1,0.9795247985425705,0.9251635670661926,1.947261095046997,1.986435867112705,276.23187255859375,4586.4072265625,-8.999999988983716e-05
9723,0.33160673931462364,0.8694602139431146,1,0.8694602139431146,0.9928357601165771,1.8827292919158936,1.8715079976716644,276.23187255859375,4587.39990234375,-8.999999988983716e-05
9724,0.8826494972826091,0.72033573359859,1,0.72033573359859,0.9296877980232239,1.7359931468963623,1.703469296319932,276.23187255859375,4588.32958984375,-8.999999988983716e-05
9725,0.4542173886712598,0.4584623554354288,1,0.4584623554354288,0.9884135127067566,1.3693715333938599,1.3589975418486728,276.23187255859375,4589.31787109375,-8.999999988983716e-05
9726,0.27978933225901637,0.1701705394097715,1,0.1701705394097715,0.5638874769210815,0.8722726106643677,0.8279593563657851,276.23187255859375,4589.8818359375,-8.999999988983716e-05
9727,0.24247095528669854,0.4769212190301416,1,0.4769212190301416,0.9912539720535278,1.3768997192382812,1.38608592399573,276.23187255859375,4590.873046875,-8.999999988983716e-05
9728,0.8938086160612555,0.6687326117500741,1,0.6687326117500741,0.9950387477874756,1.633134365081787,1.6413193210043713,276.23187255859375,4591.8681640625,-8.999999988983716e-05
9729,0.13020628777406812,0.8876076244269504,1,0.8876076244269504,0.9620932340621948,1.8646535873413086,1.8909382312713312,276.23187255859375,4592.830078125,-8.999999988983716e-05
9730,0.8054196081248839,0.22197187168714047,1,0.22197187168714047,0.9296139478683472,0.9636824131011963,0.9456181569015125,276.23187255859375,4593.759765625,-8.999999988983716e-05
9731,0.5770040508996365,0.30813493830657146,1,0.30813493830657146,0.9999815821647644,1.1137956380844116,1.1141336788660718,276.23187255859375,4594.759765625,-8.999999988983716e-05
9732,0.6995068020754355,0.2266234401474575,1,0.2266234401474575,0.9765715003013611,0.9658774733543396,0.9554748156677118,276.23187255859375,4595.736328125,-8.999999988983716e-05
9733,0.1305361127933213,0.5716829539519369,1,0.5716829539519369,0.9433415532112122,1.491639256477356,1.5175550419835568,276.23187255859375,4596.6796875,-8.999999988983716e-05
